Nr;Zuwendungsempfänger;Projektbezeichnung;Fördersumme nach Jahr und Gesamt;Gesamtförder- zeitraum;Programmbereich
112;Brandenburgische Technische Universität Cottbus-Senftenberg;Wirksame Strategien zum Umgang mit Hatespeech an Schulen - Eine kriteriengeleitete Bestandsaufnahme und Analyse international verfügbarer Programme für Schulen;2023: 74.514,13 € 2024: 93.388,49 € Gesamt: 167.902,62 €;01.03.2023 - 31.12.2024;Innovationsfonds
113;Bund der Alevitischen Jugendlichen in NRW e.V.;Young Insan - Humanismus als Leitkultur;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
114;Bund für Soziale Verteidigung;Democracy-Chats - 'Demokratiefeindliche Äußerungen in Chatgruppen widersprechen und Angegriffene stärken ohne die Gruppe zu sprengen';2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
115;Bundesinteressenvertretung schwuler Senioren (BISS) e.V.;Wir möchten reden! - Wie war das damals? Wie ist das heute? Homo- und Queerfeindlichkeit generationsübergreifend begegnen.;2023: 55.990,26 € 2024: 60.836,60 € Gesamt: 116.826,86 €;01.03.2023 - 31.12.2024;Innovationsfonds
116;BUNT - Stiftung Bildung und integrative Arbeit gGmbH;#FAKE - Jugendliche klären auf;2023: 93.370,20 € 2024: 97.393,38 € Gesamt: 190.763,58 €;01.03.2023 - 31.12.2024;Innovationsfonds
117;CARE Deutschland e.V.;'HURRA, die Welt geht unter!' - Ein Planspiel zum Thema Migration und Klimawandel;2023: 81.422,18 € 2024: 53.862,84 € Gesamt: 135.285,02 €;01.03.2023 - 31.12.2024;Innovationsfonds
118;CORRECTIV - Recherchen für die Gesellschaft gemeinnützige GmbH;Schulungstutorials zum Aufdecken von Fake News bei TikTOK;2023: 61.097,00 € 2024: 69.059,40 € Gesamt: 130.156,40 €;01.03.2023 - 31.12.2024;Innovationsfonds
119;democ. Zentrum Demokratischer Widerspruch e. V.;#TellMeMore. Familie und Freund*innen von Verschwörungsgläubigen stärken.;2023: 99.900,00 € 2024: 99.900,00 € Gesamt: 199.800,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
120;DETO - Verein zur Förderung von Demokratie, Toleranz und interkulturelle Verständigung Osnabrück e.V.;KOKOS - Konflikt Kompetenz Osnabrück;2023: 82.508,18 € 2024: 98.691,82 € Gesamt: 181.200,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
121;Deutsche Gesellschaft, eingetragener Verein zur Förderung politischer, kultureller und sozialer Beziehungen in Europa;Fake FACTory - Verschwörungserzählungen erfahrbar machen;2023: 64.864,35 € 2024: 78.876,74 € Gesamt: 143.741,09 €;01.03.2023 - 31.12.2024;Innovationsfonds
122;Deutsche Jugend aus Russland;Jugendliche erstellen demokratische Werte-Diskurse selbst;2023: 99.400,00 € 2024: 99.900,00 € Gesamt: 199.300,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
123;Digitale Helden gGmbH;Held*innen mit Haltung - Fragen, diskutieren und gemeinsam engagieren;2023: 98.603,99 € 2024: 80.155,20 € Gesamt: 178.759,19 €;01.03.2023 - 31.12.2024;Innovationsfonds
124;Distanz - Distanzierungsarbeit, jugendkulturelle Bildung und Beratung e.V.;Echt jetzt?! - Interventionen gegen Verschwörungserzählungen und Fake News;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
125;ECOMOVE International e.V.;Zukunftskunst - Spielerisch lernen, gesellschaftliche Konflikte demokratisch zu lösen;2023: 59.563,10 € 2024: 75.673,32 € Gesamt: 135.236,42 €;01.03.2023 - 31.12.2024;Innovationsfonds
126;Epic Education gGmbH;Quelle Internet!? - Ein Edu-LARP über Fake News und Verschwörungsmythen;2023: 60.697,21 € 2024: 98.130,42 € Gesamt: 158.827,63 €;01.07.2023 - 31.12.2024;Innovationsfonds
127;Erich-Zeigner-Haus e.V.;Empowerment für JournalistInnen: Barrierebildung gegen Antislawischen Rassismus in Analogen und Sozialen Medien;2023: 95.597,46 € 2024: 92.549,34 € Gesamt: 188.146,80 €;01.03.2023 - 31.12.2024;Innovationsfonds
128;Evangelisches Werk für Diakonie und Entwicklung e.V. - Diakonie Deutschland;Verschwörungsdenken und Antisemitismus - erkennen, verstehen, aktiv werden;2023: 96.936,10 € 2024: 99.818,24 € Gesamt: 196.754,34 €;01.03.2023 - 31.12.2024;Innovationsfonds
129;FiPP e.V.- Fortbildungsinstitut für die pädagogische Praxis;Villa inklusiv;2023: 100.000,00 € 2024: 99.999,98 € Gesamt: 199.999,98 €;01.03.2023 - 31.12.2024;Innovationsfonds
130;Förderverein des LAKA - Landesverband der kommunalen Migrantenvertretungen in Baden- Württemberg e.V.;Hadi. wir müssen reden! - Prävention von Rechtsextremismus und Ultranationalismus in der Migrationsgesellschaft;2023: 89.962,20 € 2024: 89.962,20 € Gesamt: 179.924,40 €;01.03.2023 - 31.12.2024;Innovationsfonds
131;Fränkisches Bildungswerk für Friedensarbeit e.V.;Lernspiel zur innergesellschaftlichen konstruktiven Konfliktbearbeitung;2023: 48.000,00 € 2024: 50.000,00 € Gesamt: 98.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
132;Freie Künste e. V.;Audiovisuelle Ausstellung über antisemitische Verschwörungsnarrative - von und für Strafgefangene;2023: 40.820,51 € 2024: 45.057,33 € Gesamt: 85.877,84 €;01.07.2023 - 31.12.2023;Innovationsfonds
133;Gemeinnützige Gesellschaft für Paritätische Sozialarbeit mbH;Groundbreaker*innen - Gleichstellung und Prävention im Peer2Peer Format;2023: 37.159,25 € 2024: 81.965,78 € Gesamt: 119.125,03 €;01.03.2023 - 31.12.2024;Innovationsfonds
134;Gesellschaft für Jugend- und Sozialforschung e.V.;Facts & Fantasy;2023: 53.180,73 € 2024: 60.250,28 € Gesamt: 113.431,01 €;01.03.2023 - 30.09.2024;Innovationsfonds
135;Haus Neuland e.V.;Sinnfluence me - Persönlich stark gegen Verschwörungserzählungen;2023: 85.915,86 € 2024: 90.629,64 € Gesamt: 176.545,50 €;01.03.2023 - 31.12.2024;Innovationsfonds
136;Helden - Verein für nachhaltige Bildung und Persönlichkeitsentwicklung e.V.;Escape the extremism - Entwicklung und Durchführung eines mobilen pädagogischen Escape Rooms zum Thema Extremismus;2023: 85.844,39 € 2024: 80.442,06 € Gesamt: 166.286,45 €;01.03.2023 - 31.12.2024;Innovationsfonds
137;Historisch-Ökologische Bildungsstätte Emsland in Papenburg e.V.;Streitet euch! Wege zu einer demokratischen Diskussionskultur mit bildungsbenachteiligten Jugendlichen;2023: 96.544,66 € 2024: 99.908,46 € Gesamt: 196.453,12 €;01.03.2023 - 31.12.2024;Innovationsfonds
138;Hochschule für angewandte Wissenschaften Landshut;Bildungsbausteine gegen Rechtsextremismus und Ultranationalismus mit Türkeibezug - Entwicklung eines digitalen Schulungsprogramms;2023: 99.551,00 € 2024: 97.604,00 € Gesamt: 197.155,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
139;Innovative Sozialarbeit e.V.;#durch(ge)schaut - Ein Projekt zur Demokratieförderung im Kontext sozialer Medien;2023: 39.372,39 € 2024: 46.137,22 € Gesamt: 85.509,61 €;01.03.2023 - 31.12.2024;Innovationsfonds
140;INSIDE OUT e.V.;PaKoRuCo (Partizipative Konzeptentwicklung mit der russischsprachigen Community);2023: 94.420,67 € 2024: 99.982,50 € Gesamt: 194.403,17 €;01.03.2023 - 31.12.2024;Innovationsfonds
141;Institut für Bildung - Forschung - Qualifizierung;Antiziganismus als institutionelle Praxis!? Ein Sensibilisierungs- und Weiterbildungskonzept für Mitarbeitende in der kommunalen Verwaltung und sozialen Praxis;2023: 48.281,47 € 2024: 84.032,15 € Gesamt: 132.313,62 €;01.04.2023 - 31.12.2024;Innovationsfonds
142;InterKultur e.V.;Radikalisierungsprävention und Rassismuserfahrungen bei Jugendlichen mit Türkeibezug - Entwicklung didaktischer Lernmodule zur digitalen Anwendung;2023: 92.262,58 € 2024: 98.790,09 € Gesamt: 191.052,67 €;01.03.2023 - 31.12.2024;Innovationsfonds
143;International Centre for Policy Advocacy (ICPA) gemeinnützige GmbH;Proaktiver Schutz - Inokulieren gegen extremistische Verschwörungsnarrative gegenüber NGOs;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
144;"Internationaler Kultur und Sport Verein der Roma - "" C A R M E N e.V. "" -";Demokratisch engagiert gegen Diskriminierung;2023: 99.156,72 € 2024: 99.426,43 € Gesamt: 198.583,15 €;01.03.2023 - 31.12.2024;Innovationsfonds
145;Intersektionales Bildungswerk in der Migrationsgesellschaft (IBIM e.V.);Grauzone Graue Wölfe - Handlungstrategien im Umgang mit der ultranationalistischen Ülkücü-Bewegung;2023: 99.126,52 € 2024: 100.000,00 € Gesamt: 199.126,52 €;01.03.2023 - 31.12.2024;Innovationsfonds
146;Islamisches Wissenschafts- und Bildungsinstitut e.V.;DemoLab - Demokratie verstehen und gestalten;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
147;jetztzeit e.V. - Kollektiv für transformative Gegenwart;'Pyramidentalk' - Aktiv gegen Verschwörungsnarrative im Strafvollzug;2023: 67.320,18 € 2024: 83.000,00 € Gesamt: 150.320,18 €;01.04.2023 - 31.12.2024;Innovationsfonds
148;JFF - Jugend Film Fernsehen e.V.;'Was wäre, wenn?!'. Demokratiebewusstsein und Engagement unterstützen;2023: 96.252,73 € 2024: 91.682,46 € Gesamt: 187.935,19 €;01.04.2023 - 30.09.2024;Innovationsfonds
149;Jugendstiftung Baden- Württemberg;'Demokratie in Gefahr! Ein Interaktionsspiel' : Demokratieförderung im Lebensumfeld Beruflicher Schulen in Baden-Württemberg;2023: 91.006,37 € 2024: 67.466,46 € Gesamt: 158.472,83 €;01.03.2023 - 31.12.2024;Innovationsfonds
150;Katholische Fachhochschule gGmbH als Trägerin der Katholischen Hochschule Nordrhein-Westfalen;Autoritarismus ins Aus stellen (AuS) - Autoritaristischen Überzeugungen präventiv und zielgruppengerecht begegnen;2023: 99.794,56 € 2024: 99.910,14 € Gesamt: 199.704,70 €;01.03.2023 - 31.12.2024;Innovationsfonds
151;Katholische Hochschule Freiburg gGmbH;Speak Out gegen Rassismus und Sexismus. Diskriminierungserfahrungen teilen und sich gemeinsam wehren. (Kurzname: Speak out);2023: 84.568,04 € 2024: 96.516,75 € Gesamt: 181.084,79 €;01.03.2023 - 31.12.2024;Innovationsfonds
152;Katholische Universität Eichstätt- Ingolstadt;Toxische Narrative entkräften - Trainingsprogramm für Journalist:innen;2023: 80.361,87 € 2024: 98.942,43 € Gesamt: 179.304,30 €;01.03.2023 - 31.12.2024;Innovationsfonds
153;Kölner Flüchtlingsrat e.V.;WECAN SPEAK - Lasst uns reden!;2023: 64.417,09 € 2024: 79.035,44 € Gesamt: 143.452,53 €;01.03.2023 - 31.12.2024;Innovationsfonds
154;Kölner Jugendring e.V. Dein Köln. Deine;Demokratie.;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
155;Kompetenzzentrum Forst;broken fake - Die Wahrheit liegt nicht immer im Auge des Betrachters;2023: 65.586,43 € 2024: 84.435,73 € Gesamt: 150.022,16 €;01.03.2023 - 31.12.2024;Innovationsfonds
156;Kreisau - Initiative e.V.;Let´s do it! Demokratie braucht Inklusion.;2023: 83.333,33 € 2024: 0,00 € Gesamt: 83.333,33 €;01.11.2021 - 31.10.2023;Innovationsfonds
157;Landesarbeitsgemeinschaft Mobile Jugendarbeit/Streetwork Baden-Württemberg e.V;#TeamDemokratie;2023: 85.500,00 € 2024: 90.000,00 € Gesamt: 175.500,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
158;Landesarbeitsgemeinschaft Offene Jugendbildung Baden- Württemberg e.V.;DEMO - Demokratielernen, Empowerment und Mitgestaltung in der Offenen Kinder- und Jugendarbeit;2023: 48.866,92 € 2024: 49.364,52 € Gesamt: 98.231,44 €;01.03.2023 - 31.12.2024;Innovationsfonds
159;Leibniz Universität Hannover;VAR - Verschwörungstheorien als Analyse- und Reflexionsgegenstand;2023: 41.005,25 € 2024: 83.264,65 € Gesamt: 124.269,90 €;01.07.2023 - 31.12.2024;Innovationsfonds
160;Ludwig-Windthorst-Haus Katholisch-Soziale Akademie;Medienbuddies - gemeinsam stark in Netz und Gesellschaft;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
161;Malteser Hilfsdienst e.V.;Nachdenker*innen im Harz - Jugend glaubt;2023: 29.194,30 € 2024: 37.454,31 € Gesamt: 66.648,61 €;01.03.2023 - 31.12.2024;Innovationsfonds
162;Modus - Zentrum für angewandte Deradikalisierungsforschung gGmbH;Trex - Transnationale rechtsextreme und ultranationalistische Bewegungen in der (post)migrantischen Gesellschaft: Monitoring relevanter Akteur*innen und Entwicklung pädagogischer Ansätze;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
163;Multikulturelles Forum e.V.;Young Insan - Vorbilder für Menschlichkeit;2023: 98.750,00 € 2024: 99.570,00 € Gesamt: 198.320,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
164;Naturschutzbund Deutschland (NABU) e.V.;Kein Blattbreit der Rechten - Verbandliche Stärkung der Prävention gegen rechte Interventionen;2023: 88.072,51 € 2024: 98.898,97 € Gesamt: 186.971,48 €;01.03.2023 - 31.12.2024;Innovationsfonds
165;Niedersächsisches Institut für frühkindliche Bildung und Entwicklung e.V.;Demokratisches Miteinander von Anfang an - Empowerment von KiTa- Fachberatung für diskriminierungssensibles Handeln;2023: 98.003,28 € 2024: 99.678,26 € Gesamt: 197.681,54 €;01.03.2023 - 31.12.2024;Innovationsfonds
166;Niedersächsisches Studieninstitut für kommunale Verwaltung e.V.;IBD - Integration, Beteiligung, Demokratiebildung (IBD);2023: 81.081,05 € 2024: 81.081,05 € Gesamt: 162.162,10 €;01.03.2023 - 31.10.2024;Innovationsfonds
167;Notdienst für Suchtmittelgefährdete und Abhängige Berlin e.V. (Notdienst Berlin e.V.);PARINO - Partizipation im Notdienst Berlin e.V.: Demokratie fördern durch aktive Teilhabe und Gestaltung demokratischer Elemente für Menschen mit Substanzgebrauchsstörung;2023: 85.406,24 € 2024: 90.040,38 € Gesamt: 175.446,62 €;01.03.2023 - 31.12.2024;Innovationsfonds
168;Ostfalia Hochschule für angewandte Wissenschaften;Mythos oder Wahrheit in der Sieben;2023: 97.747,81 € 2024: 99.993,27 € Gesamt: 197.741,08 €;01.03.2023 - 31.12.2024;Innovationsfonds
169;Otto Benecke Stiftung e.V.;Chance für ein neues gesellschaftliches Miteinander - Empowerment und Partizipation gegen Verschwörungsnarrative.;2023: 88.558,97 € 2024: 99.000,00 € Gesamt: 187.558,97 €;01.03.2023 - 31.12.2024;Innovationsfonds
170;PEN Berlin e.V.;Geschichten der Deutschen von Morgen: Neue Dichter*innen braucht das Land!;2023: 42.881,31 € 2024: 60.401,64 € Gesamt: 103.282,95 €;01.03.2023 - 31.12.2024;Innovationsfonds
171;perspektive ausstieg - Verein für Demokratieförderung und Rechtsextremismusprävention e.V.;Auf1WortGefechte;2023: 53.930,92 € 2024: 56.497,39 € Gesamt: 110.428,31 €;01.03.2023 - 31.12.2024;Innovationsfonds
172;PRO FAMILIA Deutsche Gesellschaft für Familienplanung, Sexualpädagogik und Sexualberatung;Reproduktive Selbstbestimmung und diskriminierungsarme Geburtshilfe menschenrechtskonform und demokratisch gestalten;2023: 80.778,91 € 2024: 100.000,00 € Gesamt: 180.778,91 €;01.03.2023 - 31.12.2024;Innovationsfonds
173;RAHMA - Muslimisches Zentrum für Mädchen, Frauen und Familie;gemeinsam.WIR;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
174;Resonanzraum Erzgebirge e.V.;ERZählungen - gestern, heute, morgen;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;10.03.2023 - 31.12.2024;Innovationsfonds
175;Rosa Hilfe Freiburg e.V.;(IN)VISIBLE - Geflüchtet, Queer und Hier! Queer Refugees in Südbaden;2023: 58.465,38 € 2024: 88.911,70 € Gesamt: 147.377,08 €;01.03.2023 - 31.12.2024;Innovationsfonds
176;Sächsische Jugendstiftung;DES! demokratisch - engagiert - selbstverwaltet;2023: 93.691,63 € 2024: 98.631,16 € Gesamt: 192.322,79 €;01.03.2023 - 31.12.2024;Innovationsfonds
177;Spiegelbild - Politische Bildung aus Wiesbaden e. V.;Einsame Klasse - Politische Bildung und Klassismus: Verstrickungen, Herausforderungen und Perspektiven für die Praxis;2023: 99.000,00 € 2024: 99.000,00 € Gesamt: 198.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
178;Stiftung »Europäische Jugendbildungs- und Jugendbegegnungsstätte Weimar«;Politische Bildung als Robin Hood? Ein Projekt zu sozialer Ungleichheit, Klassismus, Reichtum und Macht.;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
179;Stiftung Adam von Trott, Imshausen e. V.;gemEINSAM gegen RECHTS;2023: 93.961,73 € 2024: 96.992,96 € Gesamt: 190.954,69 €;01.03.2023 - 31.12.2024;Innovationsfonds
180;Stiftung Adam von Trott, Imshausen e. V.;Gestern wie heute - Haltung zeigen!;2023: 6.473,16 € 2024: 0,00 € Gesamt: 6.473,16 €;01.02.2021 - 31.01.2023;Innovationsfonds
181;Stiftung Bürger für Bürger;Actionbounds für Demokratie - innovative Methoden zur Stärkung demokratischer Konfliktkompetenzen junger Menschen;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
182;Stop Hate gUG;Stop Hate: Interventionsprogramm bei Hasskriminalität und digitaler Gewalt;2023: 36.443,10 € 2024: 36.492,04 € Gesamt: 72.935,14 €;01.03.2023 - 31.12.2024;Innovationsfonds
183;Stuttgarter Jugendhaus gGmbH;S.O.S. Mobil - Secrets of Society;2023: 99.562,00 € 2024: 82.081,83 € Gesamt: 181.643,83 €;01.03.2023 - 31.12.2024;Innovationsfonds
184;SWANS Initiative gGmbH;Projekt FATMA: Förder-Aktivitäten zur Teilhabe mehrfachdiskriminierter Akademikerinnen;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
185;The Poetry Project e.V.;Geschichten der Deutschen von Morgen: Zeitzeugen der Zukunft;2023: 114.293,95 € 2024: 148.706,05 € Gesamt: 263.000,00 €;01.03.2023 - 31.10.2024;Innovationsfonds
186;TINCON gGmbH;LASS MAL REDEN - Warum Demokratie toll ist;2023: 100.000,00 € 2024: 100.000,00 € Gesamt: 200.000,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
187;Trafo - Nachhaltigkeit in Bildung e.V.;im:team - Miteinander.Zukunft.Gestalten;2023: 24.632,28 € 2024: 34.677,90 € Gesamt: 59.310,18 €;01.05.2023 - 31.12.2024;Innovationsfonds
188;Türkische Gemeinde in Niedersachsen e.V.;Stärkung des jüdisch-muslimisches Dialogs;2023: 43.380,00 € 2024: 39.506,23 € Gesamt: 82.886,23 €;01.03.2023 - 31.12.2024;Innovationsfonds
189;Universität Trier;ADiLA - Aktiv für Demokratiebildung im Lehramt;2023: 62.304,35 € 2024: 75.903,59 € Gesamt: 138.207,94 €;01.03.2023 - 31.12.2024;Innovationsfonds
190;Verband für interkulturelle Arbeit VIA Bayern e.V.;Was stärkt uns? - Traumakompetenz für mehr Handlungsfähigkeit in gesellschaftlichen Konflikten;2023: 97.266,82 € 2024: 99.712,82 € Gesamt: 196.979,64 €;01.03.2023 - 31.12.2024;Innovationsfonds
191;Verein Niedersächsischer Bildungsinitiativen e.V.;Sich que(e)r stellen: im Dialog an der Schnittstelle 'Queer' & 'Migration';2023: 63.631,12 € 2024: 74.468,88 € Gesamt: 138.100,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
192;Verein zur Förderung demokratischer Werte in der Metropolregion Nürnberg e. V.;DEMOKRATIE(im)NETZ;2023: 48.935,97 € 2024: 0,00 € Gesamt: 48.935,97 €;01.07.2021 - 30.06.2023;Innovationsfonds
193;Verein zur Förderung der Bildung - VFB Salzwedel e.V.;Kurzzeitige Intervention in akuten Konfliktsituationen - K3B (KIKO);2023: 90.677,72 € 2024: 94.141,77 € Gesamt: 184.819,49 €;01.03.2023 - 31.12.2024;Innovationsfonds
194;Verein zur Förderung der politischen Jugend- und Erwachsenenbildung e.V.;Das Demokratieabzeichen - Junge Botschafter*innen für eine demokratischeGesellschaft;2023: 22.792,50 € 2024: 0,00 € Gesamt: 22.792,50 €;01.04.2021 - 31.03.2023;Innovationsfonds
195;Violence Prevention Network gGmbH;VIVA - Verschwörungsdenken individuell verstehen und auffangen;2023: 99.900,00 € 2024: 99.900,00 € Gesamt: 199.800,00 €;01.03.2023 - 31.12.2024;Innovationsfonds
196;Waldritter-NRW e.V.;Mach mal Larp! - Spiele fürs Lebens;2023: 90.089,36 € 2024: 92.626,68 € Gesamt: 182.716,04 €;01.03.2023 - 31.12.2024;Innovationsfonds
197;WIR.DE Aktive Nachbarn UG (haftungsbeschränkt);Zug um Zug Demokratie (Arbeitstitel);2023: 93.000,00 € 2024: 98.999,99 € Gesamt: 191.999,99 €;01.03.2023 - 31.12.2024;Innovationsfonds
198;Zeitbild-Stiftung;Digitales Buch der Demokratie - Verschwörungstheorien aufdecken;2023: 89.640,00 € 2024: 89.986,42 € Gesamt: 179.626,42 €;01.03.2023 - 31.12.2024;Innovationsfonds
199;Zeitgeist e.V.;Die Zukunftsreporter;2023: 99.177,49 € 2024: 100.000,00 € Gesamt: 199.177,49 €;01.03.2023 - 31.12.2024;Innovationsfonds
200;Zentrale Bildungs- und Beratungsstelle für MigrantInnen e.V.;Wissen'sWerft;2023: 63.139,86 € 2024: 77.939,01 € Gesamt: 141.078,87 €;01.03.2023 - 31.12.2024;Innovationsfonds
201;Aktion Courage e.V. - SOS Rassismus;Kompetenznetzwerk Schulische und außerschulische Bildung im Jugendalter / Aktion Courage e. V.;2023: 600.000,00 € 2024: 600.000,00 € Gesamt: 1.200.000,00 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
202;Aktion Sühnezeichen Friedensdienste e.V.;Kompetenznetzwerk Rechtsextremismus / Bundesarbeitsgemeinschaft Kirche und Rechtsextremismus (BAG K+R);2023: 301.500,00 € 2024: 307.902,74 € Gesamt: 609.402,74 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
203;Amadeu Antonio Stiftung;Kompetenznetzwerk Rechtsextremismus Amadeu Antonio Stiftung;2023: 600.000,00 € 2024: 600.000,00 € Gesamt: 1.200.000,00 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
204;Amaro Drom e.V. - interkulturelle Jugendselbstorganisation von Roma und Nicht-Roma;Kompetenznetzwerk Antiziganismus / Amaro Drom e.V.;2023: 388.036,44 € 2024: 433.894,54 € Gesamt: 821.930,98 €;01.09.2021 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
205;Anne Frank Zentrum e.V.;Kompetenznetzwerk Antisemitismus / Anne Frank Zentrum;2023: 673.479,79 € 2024: 847.937,41 € Gesamt: 1.521.417,20 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
206;Antidiskriminierungsverband Deutschland (advd);Kompetenznetzwerk Antidiskriminierung und Diversitätsgestaltung/ advd;2023: 588.000,00 € 2024: 524.586,16 € Gesamt: 1.112.586,16 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
207;Arbeitsgemeinschaft der Evangelischen Jugend in Deutschland e.V.;Kompetenznetzwerk Islam- und Muslimfeindlichkeit/ aej;2023: 523.499,29 € 2024: 500.000,00 € Gesamt: 1.023.499,29 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
208;Bildungsstätte Anne Frank;Kompetenznetzwerk Antisemitismus / BAF;2023: 600.000,00 € 2024: 800.000,00 € Gesamt: 1.400.000,00 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
209;Bundesarbeitsgemeinschaft religiös begründeter Extremismus e.V.;Kompetenznetzwerk Islamistischer Extremismus / BAG RelEx;2023: 599.920,90 € 2024: 600.000,00 € Gesamt: 1.199.920,90 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
210;Bundesverband der Recherche- und Informationsstellen Antisemitismus e.V.;Kompetenznetzwerk Antisemitismus / Bundesverband der Recherche- und Informationsstellen Antisemitismus e.V. (Bundesverband RIAS e.V.);2023: 548.492,27 € 2024: 749.676,66 € Gesamt: 1.298.168,93 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
211;Bundesverband russischsprachiger Eltern e.V.;Kompetenznetzwerk für das Zusammenleben in der Einwanderungsgesellschaft: Bundesverband russischsprachiger Eltern e.V.;2023: 369.200,44 € 2024: 335.084,98 € Gesamt: 704.285,42 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
212;Bundesverband Trans* e.V.;Kompetenznetzwerk Homosexuellen- und Transfeindlichkeit / BVT*;2023: 599.992,21 € 2024: 599.714,26 € Gesamt: 1.199.706,47 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
213;Citizens For Europe gemeinnützige UG (haftungsbeschränkt);Kompetenznetzwerk Antidiskriminierung und Diversitätsgestaltung / Citizens For Europe;2023: 391.189,49 € 2024: 488.276,00 € Gesamt: 879.465,49 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
214;CULTURES Interactive e.V. - Verein zur interkulturellen Bildung und Gewaltprävention;Kompetenznetzwerk Rechtsextremismusprävention / cultures interactive e.V.;2023: 596.452,92 € 2024: 584.397,21 € Gesamt: 1.180.850,13 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
215;Dachverband der Migrant*innenorganisationen in Ostdeutschland - DaMOst e.V.;Zusammenleben in der Einwanderungsgesellschaft / DaMOst e.V.;2023: 406.065,97 € 2024: 533.609,28 € Gesamt: 939.675,25 €;01.01.2023 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
216;Das NETTZ gGmbH;"Kompetenznetzwerk ""Hass im Netz"" / Das NETTZ gGmbH";2023: 489.573,91 € 2024: 539.330,24 € Gesamt: 1.028.904,15 €;01.08.2022 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
217;Deutsche Gesellschaft für Demokratiepädagogik e. V.;Kompetenznetzwerk Schulische und außerschulische Bildung im Jugendalter / Deutsche Gesellschaft für Demokratiepädagogik;2023: 529.841,84 € 2024: 599.996,30 € Gesamt: 1.129.838,14 €;01.09.2021 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
218;Deutsche Kinder- und Jugendstiftung GmbH;Kompetenznetzwerk Schulische und außerschulische Bildung im Jugendalter/ Deutsche Kinder- und Jugendstiftung;2023: 600.000,00 € 2024: 589.536,41 € Gesamt: 1.189.536,41 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
